Name	Difficulty
Asu Owaru Sekai, Sono Zen'ya	1
Oshikake	1
Hanahira!	1
Tsuki no Hikari	1
Koufuku no Lalka	1
Chise Anoyama ni Iku	1
Christmas * Flower	1
Nekopara Vol. 0: Minazuki Neko-tachi no Nichijou!	2
Onegai Shimasu. Pantsu wo Misete Kudasai	2
Negaeba Kitto...	2
Sono Hanabira ni Kuchizuke wo: Hajimete Deatta Ano Hi Kara	2
Sono Hanabira ni Kuchizuke wo: Itoshisa no Photograph	2
Tegami	2
Nekopara Extra: Koneko no Hi no Yakusoku	2
Yandere Otoko no Ko no Toriatsukaikata	2
Koi ni, Kanmi wo Soete	2
Rikoshugi no Ryouiki to Yougashi	2
Tsumugi Uta to Maouji no Folklore	2
Sono Hanabira ni Kuchizuke wo: Tenshi no Akogare	2
Sono Hanabira ni Kuchizuke wo: Anata ni Chikau Ai	2
Sono Hanabira ni Kuchizuke wo: Michael no Otome-tachi	2
Sono Hanabira ni Kuchizuke wo: Amakute Hoshikute Torokeru Chuu	2
Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi	2
Onii-chan, Kiss no Junbi wa Mada Desu ka? Ecchi no Junbi mo Mada Desu ka?	2
Sono Hanabira ni Kuchizuke wo: Anata o Suki na Shiawase	2
Ao no Kanata no Four Rhythm EXTRA1	2
Sono Hanabira ni Kuchizuke wo: Watashi no Ouji-sama	2
Sono Hanabira ni Kuchizuke wo: Revolution! Rinagisa	2
Warugoto Sanka	2
Sono Hanabira ni Kuchizuke wo: Amakute Otona no Torokeru Chuu	2
Sono Hanabira ni Kuchizuke wo: Yuririn	2
Sono Hanabira ni Kuchizuke wo: Atelier no Koibito-tachi	2
Swampman ni Hanataba wo	2
Yandere Otoko no Ko no Toriatsukaikata Another Route ~Happy Ending~	2
Nekopara Vol. 4: Neko to Patissier no Noel	2
Sono Hanabira ni Kuchizuke wo: Lily Platinum	2
Tsuyuchiru Letter ~Umi to Shiori ni Amaoto o~	2
Sono Hanabira ni Kuchizuke wo: Tenshi-tachi no Harukoi	2
Stargazer -Shoujo wa Hoshi no Yume o Miru-	2
KaraKara	2
UNLUCKY POTION	2
Hitoribocchi no Tentai Kansoku	3
Mhakna Gramura to Fairy Bell	3
KaraKara 2	3
Sono Hanabira ni Kuchizuke wo	3
Mugen Kairou 1.5 ~Rensa~	3
Tsuki no Terasu	3
Neko to Wakai Seyo!	3
Sono Hanabira ni Kuchizuke wo: Tenshi-tachi no Yakusoku	3
Nekopara Vol. 2: Shimai Neko no Sucre	3
Sono Hanabira ni Kuchizuke wo: Shirayuki no Kishi	3
Sono Hanabira ni Kuchizuke wo: Tenshi no Hanabira Zome	3
Higurashi no Naku Koro ni Sui - Hajisarashi-hen	3
Ryuu Tsukai to Sora	3
Shinobi Harisenbo	3
Koi ni, Kanmi wo Soete 2	3
Rakka Ren Ren	3
Kare to Kanojo to Kanojo no Chuugi	3
Hontou wa Kowai Yandere Musume ~Love One Another~	3
Imouto ga Eroge Seiyuu Dattan Daga	3
Kanojo no Seiiki	3
Kemono Musume no Sodatekata	3
Sono Hanabira ni Kuchizuke wo: Kuchibiru to Kiss de Tsubuyaite	3
LOVE³ -Love Cube-	3
Yuki Koi Melt	3
Nekopara Vol. 3: Neko-tachi no Aromatize	3
Nekopara Vol. 1: Soleil Kaiten Shimashita!	3
Mamapuri!? ~Wagaya no Dousei Tsuushinbo~	3
Yandere Otoko no Ko no Toriatsukaikata 3 ~The Last Date~	3
Yandere Otoko no Ko no Toriatsukaikata 2 ~Detarame Booking Date~	3
Nanatsuiro★Drops	3
Suiren to Shion	3
Ai no Uchuu kara ~Mikakunin Onii-chan to Iseijin~	3
Kimi no Tonari de Koi Shiteru	3
Island Diary	3
Yami no Koe	3
Princess Cage ~Host to Hime to Uso no Koi~	3
Akaya Akashiya Ayakashino	3
Inochi no Spare	3
Traumermaid	3
Tsundere Makai Princess Arisa to Haramase Shinkon Seikatsu! ~Zenbu Dasu made Nuicha Dame! Zettai Jusei Sasenasai yo ne!~	3
Natsu no Owari	3
Kohonya	3
Kanojokei Seimei Shinkaron Perfect☆Girl	3
Yami no Koe Zero	3
Uchi no Pet Jijou Vol. 1	3
Yami no Koe 2	3
Konko to no Nichijou ~Bocchi de Kawaikute Hottokenai Youko~	3
Yuurei Shoujo Shitsu	3
Kotonoha Maichiru Natsu no Koe	3
Mamiya-kunchi no Itsutsugo Jijou	3
Omoide Kakaete Ai ni Koi!!	3
Suki Tokimeki to Kiss	3
Tokeijikake no Ley Line -Tasogaredoki no Kyoukaisen-	3
Aonatsu Line	3
9-nine- Shinshou	3
Midori no Umi	3
Hibikino-san-chi wa Eroge-ya-san	3
Oshi no Love yori Koi no Love ~Love or Die~	3
Onii-chan, Kiss no Junbi wa Mada Desu ka?	3
Momoiro Closet	3
Haruka na Sora	3
Otome Domain	3
Fureraba ~Friend to Lover~	3
Natsuiro Kokoro Log	3
Function:W();	3
Date A Live: Rinne Utopia	3
School of Talent: SUZU-ROUTE	3
AstralAir no Shiroki Towa Finale -Shiroki Hoshi no Yume-	4
WORLD END ECONOMiCA episode.01	4
Ao no Kanata no Four Rhythm EXTRA2	4
Sanoba Witch	4
Shukusei no Girlfriend -the destiny star of girlfriend-	4
Koi Suru Kanojo no Bukiyou na Butai	4
Hito de Naku, Hitodenashi	4
Oshi no Love yori Koi no Love	4
Ame Koi	4
Hoshi Ori Yume Mirai	4
Making＊Lovers	4
Amairo Chocolata	4
Noja Loli no Yandere Mokushiroku	4
Tokyo School Life	4
MenheRafflesia ~Flowering Abyss~	4
Loca Love - Dousei x Kouhai	4
Sono Hana ga Saitara, Mata Boku wa Kimi ni Deau	4
Cafe Sourire	4
Majo Koi Nikki	4
Natsu no Ame	4
Shugaten! -Sugarfull Tempering-	4
Daitoshokan no Hitsujikai -Dreaming Sheep-	4
Finmelg ~HOLLOW WORLD~	4
Nursery Rhyme	4
Kimi no Hitomi ni Hit Me	4
Dokidoki Bunkeibu Plus!	4
Yosuga no Sora	4
Hikari no Umi no Apeiria ~Casablanca no Kishi~	4
Watashi no Real wa Juujitsu Shisugiteiru	4
Himawari no Kyoukai to Nagai Natsuyasumi	4
